,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,HouseStyle,OverallQual,OverallCond,RoofStyle,Exterior1st,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,TotalBsmtSF,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageCars,PavedDrive,WoodDeckSF,SaleType,PorchTotalSF,ProxCondition_Norm,BldgType_Is_1Fam,Heating_Is_GasA,HeatingQC_Is_OK,SalePrice
10,20,FV_or_RL,70.0,11200,Pave,No_Alley_Access,Reg,Lvl,AllPub,Other,Gtl,Tier_3,1Story,5,9_or_5,Hip,HBoard_to_MetalSd,BrkCmn,0.0,TA,Ex_or_TA_or_Gd,Stone_or_CBlock,1040.0,Y,SBrkr,1040,0,1040,0_or_1,0_or_2,TA,5,False,1,Y,0,Other,0,True,True,True,True,129500
11,60,FV_or_RL,85.0,11924,Pave,No_Alley_Access,IR1,Lvl,AllPub,Other,Gtl,Tier_1,2Story,10_or_9,9_or_5,Hip,HBoard_to_MetalSd,Stone,286.0,Ex,Ex_or_TA_or_Gd,PConc_or_Wood,1175.0,Y,SBrkr,1182,1142,2324,3,0_or_2,Ex,11,True,3,Y,147,New_or_Con,21,True,True,True,True,345000
12,20,FV_or_RL,,12968,Pave,No_Alley_Access,IR2,Lvl,AllPub,Other,Gtl,Tier_3,1Story,5,7_or_8_or_6,Hip,HBoard_to_MetalSd,BrkCmn,0.0,TA,Ex_or_TA_or_Gd,Stone_or_CBlock,912.0,Y,SBrkr,912,0,912,0_or_1,0_or_2,TA,4,False,1,Y,140,Other,176,True,True,True,True,144000
13,20,FV_or_RL,91.0,10652,Pave,No_Alley_Access,IR1,Lvl,AllPub,Other,Gtl,Tier_2,1Story,7,9_or_5,Gable,VinylSd,Stone,306.0,Gd,Ex_or_TA_or_Gd,PConc_or_Wood,1494.0,Y,SBrkr,1494,0,1494,2,0_or_2,Gd,7,True,3,Y,160,New_or_Con,33,True,True,True,True,279500
14,20,FV_or_RL,,10920,Pave,No_Alley_Access,IR1,Lvl,AllPub,Other,Gtl,Tier_3,1Story,6,9_or_5,Hip,HBoard_to_MetalSd,BrkFace,212.0,TA,Ex_or_TA_or_Gd,Stone_or_CBlock,1253.0,Y,SBrkr,1253,0,1253,0_or_1,1,TA,5,True,1,Y,0,Other,389,True,True,True,True,157000
15,45,RH_or_RM,51.0,6120,Pave,No_Alley_Access,Reg,Lvl,AllPub,Other,Gtl,Tier_3,Other,7,7_or_8_or_6,Gable,HBoard_to_MetalSd,BrkCmn,0.0,TA,Ex_or_TA_or_Gd,BrkTil,832.0,Y,Other,854,0,854,0_or_1,0_or_2,TA,5,False,4_or_2,Y,48,Other,112,True,True,True,True,132000
16,20,FV_or_RL,,11241,Pave,No_Alley_Access,IR1,Lvl,AllPub,CulDSac_or_FR3,Gtl,Tier_3,1Story,6,7_or_8_or_6,Gable,HBoard_to_MetalSd,BrkFace,180.0,TA,Ex_or_TA_or_Gd,Stone_or_CBlock,1004.0,Y,SBrkr,1004,0,1004,0_or_1,0_or_2,TA,5,True,4_or_2,Y,0,Other,0,True,True,True,True,149000
17,90,FV_or_RL,72.0,10791,Pave,No_Alley_Access,Reg,Lvl,AllPub,Other,Gtl,Tier_3,1Story,4_or_3,9_or_5,Gable,HBoard_to_MetalSd,BrkCmn,0.0,TA,Ex_or_TA_or_Gd,Slab,0.0,Y,SBrkr,1296,0,1296,2,0_or_2,TA,6,False,4_or_2,Y,0,Other,0,True,False,True,True,90000
18,20,FV_or_RL,66.0,13695,Pave,No_Alley_Access,Reg,Lvl,AllPub,Other,Gtl,Tier_2,1Story,5,9_or_5,Gable,VinylSd,BrkCmn,0.0,TA,Ex_or_TA_or_Gd,PConc_or_Wood,1114.0,Y,SBrkr,1114,0,1114,0_or_1,1,Gd,6,False,4_or_2,Y,0,Other,102,False,True,True,True,159000
19,20,FV_or_RL,70.0,7560,Pave,No_Alley_Access,Reg,Lvl,AllPub,Other,Gtl,Tier_3,1Story,5,7_or_8_or_6,Hip,BrkFace,BrkCmn,0.0,TA,Ex_or_TA_or_Gd,Stone_or_CBlock,1029.0,Y,SBrkr,1339,0,1339,0_or_1,0_or_2,TA,6,False,1,Y,0,Other,0,True,True,True,True,139000
20,60,FV_or_RL,101.0,14215,Pave,No_Alley_Access,IR1,Lvl,AllPub,Other,Gtl,Tier_1,2Story,8,9_or_5,Gable,VinylSd,BrkFace,380.0,Gd,Ex_or_TA_or_Gd,PConc_or_Wood,1158.0,Y,SBrkr,1158,1218,2376,3,1,Gd,9,True,3,Y,240,New_or_Con,154,True,True,True,True,325300
21,45,RH_or_RM,57.0,7449,Pave,Grvl,Reg,Bnk,AllPub,Other,Gtl,Tier_4,Other,7,7_or_8_or_6,Gable,HBoard_to_MetalSd,BrkCmn,0.0,TA,Ex_or_TA_or_Gd,PConc_or_Wood,637.0,Y,Other,1108,0,1108,0_or_1,0_or_2,Gd,6,True,1,P_or_N,0,Other,205,True,True,True,True,139400
22,20,FV_or_RL,75.0,9742,Pave,No_Alley_Access,Reg,Lvl,AllPub,Other,Gtl,Tier_2,1Story,8,9_or_5,Hip,VinylSd,BrkFace,281.0,Gd,Ex_or_TA_or_Gd,PConc_or_Wood,1777.0,Y,SBrkr,1795,0,1795,2,0_or_2,Gd,7,True,4_or_2,Y,171,Other,159,True,True,True,True,230000
23,120,RH_or_RM,44.0,4224,Pave,No_Alley_Access,Reg,Lvl,AllPub,Other,Gtl,Tier_4,1Story,5,7_or_8_or_6,Gable,CemntBd,BrkCmn,0.0,TA,Ex_or_TA_or_Gd,PConc_or_Wood,1040.0,Y,SBrkr,1060,0,1060,0_or_1,0_or_2,TA,6,True,4_or_2,Y,100,Other,110,True,False,True,True,129900
24,20,FV_or_RL,,8246,Pave,No_Alley_Access,IR1,Lvl,AllPub,Other,Gtl,Tier_3,1Story,5,7_or_8_or_6,Gable,Plywood,BrkCmn,0.0,TA,Ex_or_TA_or_Gd,Stone_or_CBlock,1060.0,Y,SBrkr,1060,0,1060,0_or_1,0_or_2,Gd,6,True,1,Y,406,Other,90,True,True,True,True,154000
25,20,FV_or_RL,110.0,14230,Pave,No_Alley_Access,Reg,Lvl,AllPub,Other,Gtl,Tier_1,1Story,8,9_or_5,Gable,VinylSd,Stone,640.0,Gd,Ex_or_TA_or_Gd,PConc_or_Wood,1566.0,Y,SBrkr,1600,0,1600,2,0_or_2,Gd,7,True,3,Y,0,Other,56,True,True,True,True,256300
26,20,FV_or_RL,60.0,7200,Pave,No_Alley_Access,Reg,Lvl,AllPub,Other,Gtl,Tier_3,1Story,5,7_or_8_or_6,Gable,HBoard_to_MetalSd,BrkCmn,0.0,TA,Ex_or_TA_or_Gd,Stone_or_CBlock,900.0,Y,SBrkr,900,0,900,0_or_1,0_or_2,Gd,5,False,4_or_2,Y,222,Other,32,True,True,True,True,134800
27,20,FV_or_RL,98.0,11478,Pave,No_Alley_Access,Reg,Lvl,AllPub,Other,Gtl,Tier_1,1Story,8,9_or_5,Gable,VinylSd,Stone,200.0,Gd,Ex_or_TA_or_Gd,PConc_or_Wood,1704.0,Y,SBrkr,1704,0,1704,2,0_or_2,Gd,7,True,3,Y,0,Other,50,True,True,True,True,306000
28,20,FV_or_RL,47.0,16321,Pave,No_Alley_Access,IR1,Lvl,AllPub,CulDSac_or_FR3,Gtl,Tier_3,1Story,5,7_or_8_or_6,Gable,HBoard_to_MetalSd,BrkCmn,0.0,TA,Ex_or_TA_or_Gd,Stone_or_CBlock,1484.0,Y,SBrkr,1600,0,1600,0_or_1,0_or_2,TA,6,True,1,Y,288,Other,258,True,True,True,True,207500
29,30,RH_or_RM,60.0,6324,Pave,No_Alley_Access,IR1,Lvl,AllPub,Other,Gtl,Tier_3,1Story,4_or_3,7_or_8_or_6,Gable,HBoard_to_MetalSd,BrkCmn,0.0,TA,Ex_or_TA_or_Gd,BrkTil,520.0,N,SBrkr,520,0,520,0_or_1,0_or_2,Fa,4,False,1,Y,49,Other,87,False,True,True,False,68500
30,70,C (all),50.0,8500,Pave,Pave,Reg,Lvl,AllPub,Other,Gtl,Tier_4,2Story,4_or_3,2_or_4_or_3_or_1,Gambrel,BrkFace,BrkCmn,0.0,TA,Below_par,BrkTil,649.0,N,SBrkr,649,668,1317,0_or_1,0_or_2,TA,6,False,1,P_or_N,0,Other,226,False,True,True,True,40000
31,20,FV_or_RL,,8544,Pave,No_Alley_Access,IR1,Lvl,AllPub,CulDSac_or_FR3,Gtl,Tier_3,1Story,5,7_or_8_or_6,Gable,HBoard_to_MetalSd,BrkCmn,0.0,TA,Ex_or_TA_or_Gd,Stone_or_CBlock,1228.0,Y,SBrkr,1228,0,1228,0_or_1,1,Gd,6,False,1,Y,0,Other,65,True,True,True,False,149350
32,20,FV_or_RL,85.0,11049,Pave,No_Alley_Access,Reg,Lvl,AllPub,Other,Gtl,Tier_2,1Story,8,9_or_5,Gable,VinylSd,BrkCmn,0.0,Gd,Ex_or_TA_or_Gd,PConc_or_Wood,1234.0,Y,SBrkr,1234,0,1234,2,0_or_2,Gd,7,False,4_or_2,Y,0,Other,30,True,True,True,True,179900
33,20,FV_or_RL,70.0,10552,Pave,No_Alley_Access,IR1,Lvl,AllPub,Other,Gtl,Tier_3,1Story,5,9_or_5,Hip,BrkFace,BrkCmn,0.0,TA,Ex_or_TA_or_Gd,Stone_or_CBlock,1398.0,Y,SBrkr,1700,0,1700,0_or_1,1,Gd,6,True,4_or_2,Y,0,Other,38,True,True,True,False,165500
34,120,FV_or_RL,60.0,7313,Pave,No_Alley_Access,Reg,Lvl,AllPub,Other,Gtl,Tier_1,1Story,10_or_9,9_or_5,Hip,HBoard_to_MetalSd,BrkFace,246.0,Ex,Ex_or_TA_or_Gd,PConc_or_Wood,1561.0,Y,SBrkr,1561,0,1561,2,0_or_2,Ex,6,True,4_or_2,Y,203,Other,47,True,False,True,True,277500
35,60,FV_or_RL,108.0,13418,Pave,No_Alley_Access,Reg,Lvl,AllPub,Other,Gtl,Tier_1,2Story,8,9_or_5,Gable,VinylSd,Stone,132.0,Gd,Ex_or_TA_or_Gd,PConc_or_Wood,1117.0,Y,SBrkr,1132,1320,2452,3,1,Gd,9,True,3,Y,113,Other,32,True,True,True,True,309000
36,20,FV_or_RL,112.0,10859,Pave,No_Alley_Access,Reg,Lvl,AllPub,Other,Gtl,Tier_2,1Story,5,9_or_5,Gable,VinylSd,BrkCmn,0.0,TA,Ex_or_TA_or_Gd,PConc_or_Wood,1097.0,Y,SBrkr,1097,0,1097,0_or_1,1,TA,6,False,4_or_2,Y,392,Other,64,True,True,True,True,145000
37,20,FV_or_RL,74.0,8532,Pave,No_Alley_Access,Reg,Lvl,AllPub,Other,Gtl,Tier_3,1Story,5,7_or_8_or_6,Hip,HBoard_to_MetalSd,BrkFace,650.0,TA,Ex_or_TA_or_Gd,Stone_or_CBlock,1297.0,Y,SBrkr,1297,0,1297,0_or_1,0_or_2,TA,5,True,4_or_2,Y,0,Other,0,True,True,True,False,153000
38,20,FV_or_RL,68.0,7922,Pave,No_Alley_Access,Reg,Lvl,AllPub,Other,Gtl,Tier_3,1Story,5,7_or_8_or_6,Gable,VinylSd,BrkCmn,0.0,TA,Ex_or_TA_or_Gd,Stone_or_CBlock,1057.0,Y,SBrkr,1057,0,1057,0_or_1,0_or_2,Gd,5,False,1,Y,0,Other,52,True,True,True,True,109000
39,90,FV_or_RL,65.0,6040,Pave,No_Alley_Access,Reg,Lvl,AllPub,Other,Gtl,Tier_3,1Story,4_or_3,9_or_5,Gable,AsbsShng_to_BrkComm,BrkCmn,0.0,TA,Ex_or_TA_or_Gd,PConc_or_Wood,0.0,N,Other,1152,0,1152,2,0_or_2,Fa,6,False,0,P_or_N,0,Other,0,True,False,True,True,82000
40,20,FV_or_RL,84.0,8658,Pave,No_Alley_Access,Reg,Lvl,AllPub,Other,Gtl,Tier_3,1Story,6,9_or_5,Gable,HBoard_to_MetalSd,BrkFace,101.0,TA,Ex_or_TA_or_Gd,Stone_or_CBlock,1088.0,Y,SBrkr,1324,0,1324,2,0_or_2,TA,6,True,4_or_2,Y,0,Other,138,True,True,True,True,160000
41,20,FV_or_RL,115.0,16905,Pave,No_Alley_Access,Reg,Lvl,AllPub,Other,Gtl,Tier_2,1Story,5,7_or_8_or_6,Gable,VinylSd,BrkCmn,0.0,TA,Ex_or_TA_or_Gd,Stone_or_CBlock,1350.0,Y,SBrkr,1328,0,1328,0_or_1,1,TA,5,True,1,P_or_N,0,Other,104,True,True,True,False,170000
42,85,FV_or_RL,,9180,Pave,No_Alley_Access,IR1,Lvl,AllPub,CulDSac_or_FR3,Gtl,Tier_2,Other,5,7_or_8_or_6,Gable,HBoard_to_MetalSd,BrkCmn,0.0,TA,Ex_or_TA_or_Gd,Stone_or_CBlock,840.0,Y,SBrkr,884,0,884,0_or_1,0_or_2,Gd,5,False,4_or_2,Y,240,Other,0,True,True,True,False,144000
43,20,FV_or_RL,,9200,Pave,No_Alley_Access,IR1,Lvl,AllPub,CulDSac_or_FR3,Gtl,Tier_2,1Story,5,7_or_8_or_6,Hip,VinylSd,BrkCmn,0.0,TA,Ex_or_TA_or_Gd,Stone_or_CBlock,938.0,Y,SBrkr,938,0,938,0_or_1,0_or_2,TA,5,False,1,Y,145,Other,0,True,True,True,True,130250
44,20,FV_or_RL,70.0,7945,Pave,No_Alley_Access,Reg,Lvl,AllPub,Other,Gtl,Tier_3,1Story,5,7_or_8_or_6,Gable,BrkFace,BrkCmn,0.0,TA,Ex_or_TA_or_Gd,Stone_or_CBlock,1150.0,Y,Other,1150,0,1150,0_or_1,0_or_2,TA,6,False,1,Y,0,Other,0,True,True,True,True,141000
45,120,FV_or_RL,61.0,7658,Pave,No_Alley_Access,Reg,Lvl,AllPub,Other,Gtl,Tier_1,1Story,10_or_9,9_or_5,Hip,HBoard_to_MetalSd,BrkFace,412.0,Ex,Ex_or_TA_or_Gd,PConc_or_Wood,1752.0,Y,SBrkr,1752,0,1752,2,0_or_2,Ex,6,True,4_or_2,Y,196,Other,82,True,False,True,True,319900
46,50,FV_or_RL,48.0,12822,Pave,No_Alley_Access,IR1,Lvl,AllPub,CulDSac_or_FR3,Gtl,Tier_3,Other,7,9_or_5,Gable,VinylSd,BrkCmn,0.0,Gd,Ex_or_TA_or_Gd,PConc_or_Wood,1434.0,Y,SBrkr,1518,631,2149,0_or_1,1,Gd,6,True,4_or_2,Y,168,Other,241,True,True,True,True,239686
47,20,FV_or_RL,84.0,11096,Pave,No_Alley_Access,Reg,Lvl,AllPub,Other,Gtl,Tier_2,1Story,8,9_or_5,Gable,VinylSd,BrkCmn,0.0,Gd,Ex_or_TA_or_Gd,PConc_or_Wood,1656.0,Y,SBrkr,1656,0,1656,2,0_or_2,Gd,7,False,3,Y,0,Other,146,True,True,True,True,249700
48,190,RH_or_RM,33.0,4456,Pave,No_Alley_Access,Reg,Lvl,AllPub,Other,Gtl,Tier_3,2Story,4_or_3,9_or_5,Gable,HBoard_to_MetalSd,BrkCmn,0.0,TA,Ex_or_TA_or_Gd,BrkTil,736.0,Y,SBrkr,736,716,1452,2,0_or_2,TA,8,False,0,P_or_N,0,New_or_Con,102,True,False,True,False,113000
49,20,FV_or_RL,66.0,7742,Pave,No_Alley_Access,Reg,Lvl,AllPub,Other,Gtl,Tier_3,1Story,5,7_or_8_or_6,Gable,HBoard_to_MetalSd,BrkCmn,0.0,TA,Ex_or_TA_or_Gd,Stone_or_CBlock,955.0,Y,SBrkr,955,0,955,0_or_1,0_or_2,TA,6,False,1,Y,0,Other,0,True,True,True,True,127000
50,60,FV_or_RL,,13869,Pave,No_Alley_Access,IR2,Lvl,AllPub,Other,Gtl,Tier_2,2Story,6,7_or_8_or_6,Gable,VinylSd,BrkCmn,0.0,TA,Ex_or_TA_or_Gd,PConc_or_Wood,794.0,Y,SBrkr,794,676,1470,2,0_or_2,TA,6,False,4_or_2,Y,0,Other,75,True,True,True,False,177000
51,50,RH_or_RM,52.0,6240,Pave,No_Alley_Access,Reg,Lvl,AllPub,Other,Gtl,Tier_3,Other,6,7_or_8_or_6,Gable,HBoard_to_MetalSd,BrkCmn,0.0,TA,Ex_or_TA_or_Gd,PConc_or_Wood,816.0,Y,SBrkr,816,0,1176,0_or_1,0_or_2,TA,6,True,4_or_2,Y,112,Other,0,True,True,True,True,114500
52,90,RH_or_RM,110.0,8472,Grvl,No_Alley_Access,IR2,Bnk,AllPub,Other,Mod,Tier_4,1Story,5,9_or_5,Gable,HBoard_to_MetalSd,BrkCmn,0.0,Fa,Ex_or_TA_or_Gd,Stone_or_CBlock,816.0,N,SBrkr,816,0,816,0_or_1,0_or_2,TA,5,False,4_or_2,Y,106,Other,0,False,False,True,True,110000
53,20,FV_or_RL,68.0,50271,Pave,No_Alley_Access,IR1,Low,AllPub,Other,Gtl,Tier_2,1Story,10_or_9,9_or_5,Gable,HBoard_to_MetalSd,BrkCmn,0.0,Gd,Ex_or_TA_or_Gd,Stone_or_CBlock,1842.0,Y,SBrkr,1842,0,1842,0_or_1,1,Gd,5,True,3,Y,857,Other,72,True,True,True,False,385000
54,80,FV_or_RL,60.0,7134,Pave,No_Alley_Access,Reg,Bnk,AllPub,Other,Mod,Tier_3,Other,5,9_or_5,Gable,HBoard_to_MetalSd,BrkCmn,0.0,TA,Ex_or_TA_or_Gd,Stone_or_CBlock,384.0,Y,SBrkr,1360,0,1360,0_or_1,0_or_2,TA,6,True,4_or_2,Y,0,Other,50,True,True,True,True,130000
55,20,FV_or_RL,100.0,10175,Pave,No_Alley_Access,IR1,Lvl,AllPub,Other,Gtl,Tier_3,1Story,6,9_or_5,Gable,HBoard_to_MetalSd,BrkFace,272.0,TA,Ex_or_TA_or_Gd,Stone_or_CBlock,1425.0,Y,SBrkr,1425,0,1425,2,0_or_2,TA,7,True,4_or_2,Y,0,Other,407,True,True,True,False,180500
56,160,FV_or_RL,24.0,2645,Pave,Pave,Reg,Lvl,AllPub,Other,Gtl,Tier_2,2Story,8,9_or_5,Gable,HBoard_to_MetalSd,BrkFace,456.0,Gd,Ex_or_TA_or_Gd,PConc_or_Wood,970.0,Y,SBrkr,983,756,1739,2,1,Gd,7,False,4_or_2,Y,115,Other,0,True,False,True,True,172500
57,60,FV_or_RL,89.0,11645,Pave,No_Alley_Access,IR1,Lvl,AllPub,Other,Gtl,Tier_2,2Story,7,9_or_5,Gable,VinylSd,BrkCmn,0.0,Gd,Ex_or_TA_or_Gd,PConc_or_Wood,860.0,Y,SBrkr,860,860,1720,2,1,Gd,7,False,4_or_2,Y,0,Other,70,True,True,True,True,196500
58,60,FV_or_RL,66.0,13682,Pave,No_Alley_Access,IR2,HLS,AllPub,CulDSac_or_FR3,Gtl,Tier_1,2Story,10_or_9,9_or_5,Hip,VinylSd,BrkFace,1031.0,Ex,Ex_or_TA_or_Gd,PConc_or_Wood,1410.0,Y,SBrkr,1426,1519,2945,3,1,Gd,10,True,3,Y,192,New_or_Con,37,True,True,True,True,438780
59,20,FV_or_RL,60.0,7200,Pave,No_Alley_Access,Reg,Bnk,AllPub,Other,Gtl,Tier_2,1Story,5,7_or_8_or_6,Gable,HBoard_to_MetalSd,BrkCmn,0.0,TA,Ex_or_TA_or_Gd,Stone_or_CBlock,780.0,Y,SBrkr,780,0,780,0_or_1,0_or_2,TA,4,False,1,Y,196,Other,0,True,True,True,True,124900
60,20,FV_or_RL,63.0,13072,Pave,No_Alley_Access,Reg,Lvl,AllPub,Other,Gtl,Tier_2,1Story,6,9_or_5,Gable,VinylSd,BrkCmn,0.0,TA,Ex_or_TA_or_Gd,PConc_or_Wood,1158.0,Y,SBrkr,1158,0,1158,0_or_1,1,Gd,5,False,4_or_2,Y,0,New_or_Con,50,False,True,True,True,158000
61,75,RH_or_RM,60.0,7200,Pave,No_Alley_Access,Reg,Lvl,AllPub,Other,Gtl,Tier_4,Other,5,7_or_8_or_6,Gable,HBoard_to_MetalSd,BrkCmn,0.0,TA,Ex_or_TA_or_Gd,BrkTil,530.0,N,SBrkr,581,530,1111,0_or_1,0_or_2,Fa,6,False,1,P_or_N,0,Other,144,True,True,True,True,101000
62,120,FV_or_RL,44.0,6442,Pave,No_Alley_Access,IR1,Lvl,AllPub,Other,Gtl,Tier_1,1Story,8,9_or_5,Gable,VinylSd,Stone,178.0,Gd,Ex_or_TA_or_Gd,PConc_or_Wood,1370.0,Y,SBrkr,1370,0,1370,2,0_or_2,Gd,6,True,4_or_2,Y,120,Other,49,True,False,True,True,202500
63,70,RH_or_RM,50.0,10300,Pave,No_Alley_Access,IR1,Bnk,AllPub,Other,Gtl,Tier_3,2Story,7,7_or_8_or_6,Gable,HBoard_to_MetalSd,BrkCmn,0.0,TA,Ex_or_TA_or_Gd,BrkTil,576.0,Y,SBrkr,902,808,1710,2,0_or_2,TA,9,False,4_or_2,Y,12,Other,75,False,True,True,False,140000
64,60,FV_or_RL,,9375,Pave,No_Alley_Access,Reg,Lvl,AllPub,Other,Gtl,Tier_2,2Story,7,9_or_5,Gable,VinylSd,BrkFace,573.0,TA,Ex_or_TA_or_Gd,PConc_or_Wood,1057.0,Y,SBrkr,1057,977,2034,2,1,Gd,8,False,4_or_2,Y,576,Other,36,True,True,True,True,219500
65,60,FV_or_RL,76.0,9591,Pave,No_Alley_Access,Reg,Lvl,AllPub,Other,Gtl,Tier_1,2Story,8,9_or_5,Gable,VinylSd,BrkFace,344.0,Gd,Ex_or_TA_or_Gd,PConc_or_Wood,1143.0,Y,SBrkr,1143,1330,2473,2,1,Gd,9,True,3,Y,192,Other,151,True,True,True,True,317000
66,20,FV_or_RL,,19900,Pave,No_Alley_Access,Reg,Lvl,AllPub,Other,Gtl,Tier_3,1Story,7,9_or_5,Gable,Plywood,BrkFace,287.0,TA,Ex_or_TA_or_Gd,Stone_or_CBlock,1947.0,Y,SBrkr,2207,0,2207,2,0_or_2,TA,7,True,4_or_2,Y,301,Other,0,False,True,True,True,180000
67,20,FV_or_RL,72.0,10665,Pave,No_Alley_Access,IR1,Lvl,AllPub,Other,Gtl,Tier_2,1Story,7,9_or_5,Gable,VinylSd,BrkFace,167.0,Gd,Ex_or_TA_or_Gd,PConc_or_Wood,1453.0,Y,SBrkr,1479,0,1479,2,0_or_2,Gd,7,False,4_or_2,Y,144,Other,29,True,True,True,True,226000
68,30,RH_or_RM,47.0,4608,Pave,No_Alley_Access,Reg,Lvl,AllPub,Other,Gtl,Tier_3,1Story,4_or_3,7_or_8_or_6,Gable,HBoard_to_MetalSd,BrkCmn,0.0,TA,Ex_or_TA_or_Gd,Stone_or_CBlock,747.0,Y,SBrkr,747,0,747,0_or_1,0_or_2,TA,4,False,1,Y,0,Other,0,False,True,True,True,80000
69,50,FV_or_RL,81.0,15593,Pave,No_Alley_Access,Reg,Lvl,AllPub,Other,Gtl,Tier_2,Other,7,2_or_4_or_3_or_1,Gable,BrkFace,BrkCmn,0.0,Gd,Ex_or_TA_or_Gd,Stone_or_CBlock,1304.0,Y,SBrkr,1304,983,2287,2,0_or_2,TA,7,True,4_or_2,Y,0,Other,135,True,True,False,True,225000
